Account ID,Account Owner Region,Account Name,Type,Sub Type,Support SDR,Billing Country,Industry,Employees,Account Propensity Score (APS),Global 2000 Rank,Expected SDR Assignment ,Match/Mismatch
123511,DE,Company 56,Prospect,Suspect,Comm Rep,Germany,Professional Services,1,87,,Comm Rep,Match
123512,DE,Company 57,Prospect,Suspect,SDR,Germany,Other Private Service,1,17,,Comm Rep,Mismatch
123513,DE,Company 58,Prospect,Suspect,SDR,Germany,Healthcare Providers,64,20,,Comm Rep,Mismatch
123514,DE,Company 59,Prospect,Suspect,SDR,Germany,Professional Services,42,14,,Comm Rep,Mismatch
123515,DE,Company 60,Prospect,Suspect,Comm Rep,Germany,Healthcare Providers,144,33,,Comm Rep,Match
123516,DE,Company 61,Prospect,Suspect,SDR,Germany,,,26,,Unknown,Mismatch
123517,DE,Company 62,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,992,66,,SDR,Mismatch
123518,DE,Company 63,Prospect,Suspect,Comm Rep,Germany,Hardlines,791,44,,SDR,Mismatch
123519,DE,Company 64,Prospect,Suspect,Comm Rep,Germany,Software - B2B,653,65,,SDR,Mismatch
123520,DE,Company 65,Prospect,Suspect,Comm Rep,Germany,,,53,,Unknown,Mismatch
123521,DE,Company 66,Prospect,Suspect,SDR,Germany,Retailers & eCommerce,423,42,,Comm Rep,Mismatch
123522,DE,Company 67,Prospect,Suspect,Comm Rep,Germany,HCLS Other,3,40,,Comm Rep,Match
123523,DE,Company 68,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,63,34,,Comm Rep,Match
123524,DE,Company 69,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,520,51,,SDR,Mismatch
123525,DE,Company 70,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,712,87,,SDR,Mismatch
123526,DE,Company 71,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,712,23,,SDR,Match
123527,DE,Company 72,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,712,55,,SDR,Mismatch
123528,DE,Company 73,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,206,41,,Comm Rep,Mismatch
123529,DE,Company 74,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,712,70,,SDR,Match
123530,DE,Company 75,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,709,54,,SDR,Mismatch
123531,DE,Company 76,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,732,57,,SDR,Mismatch
123532,DE,Company 77,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,712,64,,SDR,Mismatch
123533,DE,Company 78,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,527,37,,SDR,Match
123534,DE,Company 79,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,603,37,,SDR,Match
123535,DE,Company 80,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,716,50,,SDR,Mismatch
123536,DE,Company 81,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,568,22,,SDR,Match
123537,DE,Company 82,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,712,44,,SDR,Mismatch
123538,DE,Company 83,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,652,44,,SDR,Mismatch
123539,DE,Company 84,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,729,65,,SDR,Mismatch
123540,DE,Company 85,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,885,55,,SDR,Mismatch
123541,DE,Company 86,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,628,74,,SDR,Match
123542,DE,Company 87,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,525,38,,SDR,Match
123543,DE,Company 88,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,600,54,,SDR,Mismatch
