Account ID,Account Owner Region,Account Name,Type,Sub Type,Support SDR,Billing Country,Industry,Employees,Account Propensity Score (APS),Global 2000 Rank
123685,DE,Company 230,Prospect,Suspect,SDR,Germany,Nonprofit Organization,,14,
123686,DE,Company 231,Prospect,Suspect,Comm Rep,Germany,Hotels and Accommodations,27,28,
123687,DE,Company 232,Prospect,Suspect,SDR,Germany,Healthcare Providers,462,35,
123688,DE,Company 233,Prospect,Suspect,SDR,Germany,Nonprofit Organization,4,20,
123689,DE,Company 234,Prospect,Suspect,Comm Rep,Germany,Nonprofit Organization,4,34,
123690,DE,Company 235,Prospect,Suspect,SDR,Germany,Software - B2B,3,35,
123691,DE,Company 236,Prospect,Suspect,SDR,Germany,Professional Services,3293,42,
123692,DE,Company 237,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,397,73,
123693,DE,Company 238,Prospect,Suspect,Comm Rep,Germany,Other Private Service,91,91,
123694,DE,Company 239,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,471,34,
123695,DE,Company 240,Prospect,Suspect,SDR,Germany,Media & Streaming,776,74,
123696,DE,Company 241,Prospect,Suspect,SDR,Germany,Healthcare Providers,900,24,
123697,DE,Company 242,Prospect,Suspect,SDR,Germany,Media & Streaming,122,15,
123698,DE,Company 243,Prospect,Suspect,Comm Rep,Germany,Construction,829,47,
123699,DE,Company 244,Prospect,Suspect,Comm Rep,Germany,Wealth & Asset Management,664,48,
123700,DE,Company 245,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,536,47,
123701,DE,Company 246,Prospect,Suspect,Comm Rep,Germany,Professional Services,1280,88,
123702,DE,Company 247,Prospect,Suspect,SDR,Germany,Industrial Goods,700,18,681
123703,DE,Company 248,Prospect,Suspect,SDR,Germany,Professional Services,,21,
123704,DE,Company 249,Prospect,Suspect,SDR,Germany,Professional Services,,39,
123705,DE,Company 250,Prospect,Suspect,SDR,Germany,Softlines,5,16,
123706,DE,Company 251,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,20,59,
123707,DE,Company 252,Prospect,Suspect,Comm Rep,Germany,Power & Utilities,496,47,
123708,DE,Company 253,Prospect,Suspect,Comm Rep,Germany,Professional Services,,32,
123709,DE,Company 254,Prospect,Suspect,SDR,Germany,Healthcare Providers,499,15,
123710,DE,Company 255,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,15,67,
123711,DE,Company 256,Prospect,Suspect,SDR,Germany,Industrial Goods,819,37,
123712,DE,Company 257,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,877,47,
123713,DE,Company 258,Prospect,Suspect,Comm Rep,Germany,Healthcare Providers,29,32,
123714,DE,Company 259,Prospect,Suspect,SDR,Germany,Professional Services,288,22,
